0_3ec2f4cc	37 Orangeville / Brampton	Brampton Bus Terminal	First St. (Orangeville Mall)	37 Orangeville	N/A	GO Transit	
1_13148e4e	37 Orangeville / Brampton	First St. (Orangeville Mall)	Brampton Bus Terminal	37 Brampton Terminal	N/A	GO Transit	
0_4f735fae	38 Bolton / Malton	Malton GO Bus	Hwy. 50 at Columbia Way	38 Bolton	N/A	GO Transit	
1_0a0d4975	38 Bolton / Malton	Queen St. N. at Columbia Way	Malton GO Bus	38 Malton GO	N/A	GO Transit	
0_d6c59034	40 Hamilton / Richmond Hill	Hamilton GO Centre Bus Terminal	Richmond Hill Centre	40 Richmond Hill Ctr	N/A	GO Transit	
1_7d173cc	40 Hamilton / Richmond Hill	Richmond Hill Centre	Hamilton GO Centre Bus Terminal	40 Hamilton GO	N/A	GO Transit	
0_55fd7c8d	45 Mississauga / Hwy 407 Terminal	Streetsville GO Bus Terminal	Hwy 407 Bus Terminal	45 Hwy 407 Bus Terminal	N/A	GO Transit	
1_b67550c9	45 Mississauga / Hwy 407 Terminal	Hwy 407 Bus Terminal	Streetsville GO Bus	45 Streetsville GO	N/A	GO Transit	
0_1bbba57d	46 Oakville / Hwy 407 Terminal	Oakville GO Bus	Hwy 407 Bus Terminal	46 Hwy 407 Bus Terminal	N/A	GO Transit	
1_8bce495a	46 Oakville / Hwy 407 Terminal	Hwy 407 Bus Terminal	Oakville GO Bus	46 Oakville GO	N/A	GO Transit	
0_acc8ebb1	47 Hamilton / Hwy 407 Terminal	Hamilton GO Centre Bus Terminal	Hwy 407 Bus Terminal	47 Hwy 407 Bus Terminal	N/A	GO Transit	
1_4040cc38	47 Hamilton /Hwy 407 Terminal	Hwy 407 Bus Terminal	Hamilton GO Centre Bus Terminal	47 Hamilton GO	N/A	GO Transit	
0_78ad2fbe	48 Guelph / Hwy 407 Terminal	University of Guelph	Hwy 407 Bus Terminal	48 Hwy 407 Bus Terminal	N/A	GO Transit	
1_de428600	48 Guelph / Hwy 407 Terminal	Hwy 407 Bus Terminal	University of Guelph	48 U of Guelph	N/A	GO Transit	
0_4acbf6c3	51 Pickering / Hwy 407 Terminal	Hwy 407 Bus Terminal	Pickering GO Bus	51 Pickering GO	N/A	GO Transit	
1_a5d2586f	51 Pickering / Hwy 407 Terminal	Pickering GO Bus	Hwy 407 Bus Terminal	51 Hwy 407 Bus Terminal	N/A	GO Transit	
0_93ec4095	52 Oshawa / Hwy 407 Terminal	Hwy 407 Bus Terminal	Oshawa Bus Terminal	52 Oshawa Terminal	N/A	GO Transit	
1_0b2f5cc3	52 Oshawa / Hwy 407 Terminal	Oshawa Bus Terminal	Hwy 407 Bus Terminal	52 Hwy 407 Bus Terminal	N/A	GO Transit	
0_3cd67868	54 Markham / Hwy 407 Terminal	Hwy 407 Bus Terminal	Mount Joy GO Bus	54 Mount Joy GO	N/A	GO Transit	
1_595f9844	54 Markham / Hwy 407 Terminal	Mount Joy GO Bus	Hwy 407 Bus Terminal	54 Hwy 407 Bus Terminal	N/A	GO Transit	
0_5c585923	61 Richmond Hill	Union Station Bus Terminal	Langstaff Rd. E. at Cedar Ave. (Langstaff GO)	61B Langstaff GO	N/A	GO Transit	
0_c9498934	61 Richmond Hill	Union Station Bus Terminal	Gormley GO	61C Gormley GO	N/A	GO Transit	
0_e3cf7984	61 Richmond Hill	Union Station Bus Terminal	Gormley GO	61 Gormley GO	N/A	GO Transit	
1_0a470dd5	61 Richmond Hill	Gormley GO	Union Station Bus Terminal	61F Union Station	N/A	GO Transit	
1_839a2875	61 Richmond Hill	Gormley GO	Union Station Bus Terminal	61 Union Station	N/A	GO Transit	
1_ba3d441c	61 Richmond Hill	Gormley GO	Union Station Bus Terminal	61C Union Station	N/A	GO Transit	
1_ea5eae92	61 Richmond Hill	Richmond Hill GO Bus	Union Station Bus Terminal	61A Union Station	N/A	GO Transit	
1_f187ca13	61 Richmond Hill	Langstaff Rd. E. at Cedar Ave. (Langstaff GO)	Union Station Bus Terminal	61B Union Station	N/A	GO Transit	
0_113f6070	63 King City / Toronto	Union Station Bus Terminal	Burton Grove (King City GO)	63 King City GO	N/A	GO Transit	
1_d5e15676	63 King City / Toronto	Station Rd. (King City GO)	Union Station Bus Terminal	63 Union Station	N/A	GO Transit	
0_baee9dd8	65 Newmarket / Toronto	Union Station Bus Terminal	East Gwillimbury GO	65 East Gwillimbury GO	N/A	GO Transit	
1_05cec2f9	65 Newmarket / Toronto	East Gwillimbury GO	Union Station Bus Terminal	65 Union Station	N/A	GO Transit	
0_62dc5e6d	67 Keswick / North York	Finch Bus Terminal	Woodbine Ave. at Hwy. 404 Park & Ride	67 Woodbine/404	N/A	GO Transit	
1_17b83c92	67 Keswick / North York	Woodbine Ave. at Hwy. 404 Park & Ride	Finch Bus Terminal	67 Finch Terminal	N/A	GO Transit	
0_5bcf9d77	68 Barrie / Newmarket	Aurora GO Bus	Barrie Transit Terminal	68 Barrie Terminal	N/A	GO Transit	
1_d86515d1	68 Barrie / Newmarket	Barrie Transit Terminal	Aurora GO Bus	68 Aurora GO	N/A	GO Transit	
0_20658bb4	70 Uxbridge / Mount Joy	Mount Joy GO Bus	Railway St. Albert St.	70 Uxbridge	N/A	GO Transit	
1_6e62ee12	70 Uxbridge / Mount Joy	Railway St. Albert St.	Mount Joy GO Bus	70 Mount Joy GO	N/A	GO Transit	
0_67461f28	71 Stouffville	Union Station Bus Terminal	Railway St. Albert St.	71 Uxbridge	N/A	GO Transit	
1_058ac092	71 Stouffville	Railway St. Albert St.	Union Station Bus Terminal	71 Union Station	N/A	GO Transit	
0_334ed804	81 Beaverton / Port Perry / Whitby	Whitby GO Bus	Simcoe St. at Mara Rd.	81 Beaverton	N/A	GO Transit	
1_17e4bd65	81 Beaverton / Port Perry / Whitby	Simcoe St. at Mara Rd.	Whitby GO Bus	81 Whitby GO	N/A	GO Transit	
0_0966eb59	88 Peterborough / Oshawa	Oshawa GO Bus Terminal	Trent University	88 Trent U	N/A	GO Transit	
1_a5e01036	88 Peterborough / Oshawa	Trent University	Oshawa GO Bus Terminal	88 Oshawa GO	N/A	GO Transit	
0_27aa5ee2	90 Lakeshore East	Union Station Bus Terminal	King Ave. E. at Beaver St. S.	90C Newcastle	N/A	GO Transit	
0_ff669f0b	90 Lakeshore East	Oshawa GO Bus Terminal	King Ave. E. at Beaver St. S.	90A Newcastle	N/A	GO Transit	
1_b1411726	90 Lakeshore East	King Ave. E. at Beaver St. N.	Oshawa GO Bus Terminal	90 Oshawa GO	N/A	GO Transit	
1_ede2e314	90 Lakeshore East	King Ave. E. at Beaver St. N.	Oshawa GO Bus Terminal	90A Oshawa GO	N/A	GO Transit	
1_fa5847a8	90 Lakeshore East	Oshawa GO Bus Terminal	Union Station Bus Terminal	90B Union Station	N/A	GO Transit	
0_58af7256	91 Newcastle / Oshawa	Oshawa GO Bus Terminal	King Ave. E. at Beaver St. S.	91 Newcastle	N/A	GO Transit	
1_3e45c4ef	91 Newcastle / Oshawa	King Ave. E. at Beaver St. N.	Oshawa GO Bus Terminal	91 Oshawa GO	N/A	GO Transit	
0_03e3a7f0	92 Oshawa / Yorkdale	Yorkdale GO Bus Terminal	Oshawa GO Bus Terminal	92 Oshawa GO	N/A	GO Transit	
1_ee1bab11	92 Oshawa / Yorkdale	Oshawa GO Bus Terminal	Yorkdale GO Bus Terminal	92 Yorkdale Terminal	N/A	GO Transit	
0_e1410e40	96 Oshawa / Finch Express	Finch Bus Terminal	Oshawa Bus Terminal	96 Oshawa GO	N/A	GO Transit	
1_0d5d4a3b	96 Oshawa / Finch Express	Oshawa Bus Terminal	Finch Bus Terminal	96 Finch Terminal	N/A	GO Transit	
