Route Number	Route Name	Division(s)	All Interlines	Internal Branches
89	Weston	Mount Dennis	312 St Clair-Junction, 320 Yonge	"89_0_89
89_1_89
89_0_89sch"
90	Vaughan	Wilson	320 Yonge	"90_0_90A
90_1_90A"
91	Woodbine	Birchmount	12 Kingston Rd	"91_0_91C
91_1_91C
91_0_91Cam
91_1_91Cam
91_1_91Dam
91_0_91Dpm"
92	Woodbine South	Birchmount	322 Coxwell, 324 Victoria Park	"92_0_92
92_1_92"
93	Parkview Hills	Birchmount	None	"93_0_93
93_1_93
93_1_SCPK"
94	Wellesley	Wilson	320 Yonge	"94_0_94A
94_1_94A
94_0_94C
94_1_94C"
95	York Mills	Malvern	85 Sheppard East, 353 Steeles,  395 York Mills	"95_0_95A
95_0_YOCE
95_0_YOCE
95_1_95A
95_0_95B
95_1_95B
95_0_95C
95_1_95C
95_1_PJYK
95_1_YOCI"
96	Wilson	Arrow Rd	35 Jane, 36 Finch West, 60 Steeles West, 119 Torbarrie	"96_0_96
96_0_96A
96_0_96Aja
96_0_96Ap
96_0_96B
96_0_96Bp
96_0_96D
96_0_96Dja
96_0_FIHU
96_1_96A
96_1_96B
96_1_96D
96_1_wi96A
96_1_wi96B
96_1_MDJA
96_1_WNWI"
97	Yonge	Wilson	320 Yonge	"97_0_97A
97_0_97B
97_0_97F
97_1_97A
97_1_97B
97_1_97F"
98	Willowdale-Senlac	Wilson	320 Yonge	"98_0_98A
98_0_98B
98_0_98C
98_0_PEGO
98_1_98A
98_1_98B
98_1_98C
98_1_GOPE"
99	Arrow Rd	Arrow Rd	84 Sheppard West	"99_0_99
99_1_99"
100	Flemingdon Park	Eglinton	300 Bloor-Danforth, 320 Yonge, 334 Eglinton East	"100_0_100A
100_1_100A"
101	Downsview Park	Arrow Rd	None	"101_0_101
101_1_101"
102	Markham Rd	Birchmount, Eglinton, Malvern	300 Bloor-Danforth, 302 Kingston-McCowan, 986 Scarborough Express	"102_0_102A
102_1_102A
102_0_102B
102_1_102B
102_0_102Bpm
102_1_102Bpm
102_1_102Bam
102_0_102D
102_1_102D
102_0_MPWA
102_1_WAMP
102_1_CNCC
102_1_CDHS"
104	Faywood	Wilson	None	"104_0_104
104_1_104"
105	Dufferin North	Wilson	106 Sentinel	"105_0_105A
105_1_105A
105_0_105D
105_0_DUWI
105_1_WIDU"
106	Sentinel	Wilson	105 Dufferin North, 117 Alness-Chesswod	"106_0_106
106_1_106
106_1_SEDO
106_1_106pv"
107	St Regis	Wilson	None	"107_0_107
107_1_107
107_0_107wi
107_1_wi107"
108	Driftwood	Arrow Rd	None	"108_0_108A
108_1_108A
108_0_108B
108_1_108B
108_0_108Cpv
108_1_108C
108_0_PVFI
108_1_STPVc
108_0_FDSH"
109	Ranee	Wilson	320 Yonge	"109_0_109
109_0_109B
109_0_109C
109_0_LAEW
109_0_RALA
109_0_RAEW
109_1_109
109_1_109A
109_1_109B
109_1_109C
109_1_LARA"
110	Islington South	Queensway	315 Evans-Browns Line, 337 Islington	"110_0_110A
110_1_110A
110_0_110B
110_1_110B
110_0_110C
110_1_110C
110_0_110Cpm
110_1_110Cpm"
111	East Mall	Queensway	15 Evans, 192 Airport Rocket, 300 Bloor-Danforth	"111_0_111
111_1_111
111_0_REKP
111_1_MGMG
111_0_RAEM"
112	West Mall	Queensway	945 Kipling Express	"112_0_112B
112_0_112C
112_0_112Ca
112_0_112Cp
112_0_112E
112_0_BLCA
112_1_112B
112_1_112C
112_1_112Ca
112_1_112Cp
112_1_EGCA
112_1_RNBL"
113	Danforth	Birchmount	300 Bloor-Danforth	"113_0_113
113_1_113"
115	Silver Hills	Wilson	122 Graydon Hall	"115_0_115
115_1_115"
116	Morningside	Eglinton, Malvern	53 Steeles East, 300 Bloor-Danforth, 334 Eglinton East, 353 Steeles	"116_0_116A
116_1_116A
116_0_116B
116_1_116B
116_0_116C
116_0_kn116C
116_1_116C
116_1_116C
116_1_pj116
116_0_mons
116_0_gu116
116_0_mo116"
117	Alness-Chesswood	Wilson	106 Sentinel	"117_0_117
117_1_117"
118	Thistle Down	Arrow Rd	None	"118_0_118a
118_1_118a
118_0_118p
118_1_118p"
119	Torbarrie	Arrow Rd	96 Wilson	"119_0_119a
119_1_119a
119_0_119p
119_1_119p"
120	Calvington	Arrow Rd	None	"120_0_120
120_0_gi120
120_0_NRGI
120_1_120
120_1_SHNR"
121	Fort-York Esplanade	Birchmount	None	"121_0_121A
121_0_121C
121_0_121D
121_0_121S
121_1_121A
121_1_121C
121_1_121D
121_1_121S"
122	Graydon Hall	Wilson	115 Silver Hills, 320 Yonge	"122_0_122
122_0_122*
122_0_ROUP
122_1_122
122_1_122*
122_1_fe122"
123	Sherway	Queensway	37 Islington, 300 Bloor-Danforth, 315 Evans-Browns Line	"123_0_123B
123_1_123B
123_0_123C
123_1_123C
123_0_123D
123_1_123D
123_0_123F
123_1_123F
123_1_EMKP
123_0_SHLO"
124	Sunnybrook	Wilson	None	"124_0_124
124_0_124con
124_1_124
124_1_124con
124_1_124compm
124_1_124pm"
125	Drewry	Wilson	320 Yonge	"125_0_125
125_1_125
125_1_TOBA
125_0_ANBA"
126	Christie	Mount Dennis	None	"126_0_126
126_1_126"
127	Davenport	Mount Dennis	29 Dufferin, 320 Yonge, 329 Dufferin	"127_0_127
127_1_127"
129	McCowan North	Malvern	38 Highland Creek, 385 Sheppard East, 939 Finch Express	"129_0_129A
129_0_129B
129_1_129A
129_1_129B
129_1_129SHST
129_1_MCSL"
130	Middlefield 	Malvern	132 Milner	"130_0_130A
130_1_130A
130_0_130B
130_1_130B"
131	Nugget	Malvern	38 Highland Creek, 939 Finch Express	"131_0_131
131_1_131
131_0_131r
131_1_131r
131_0_MVMOr
131_1_MOMV
131_1_131r
131_1_MOMVr"
132	Milner	Malvern	130 Middlefield	"132_0_132
132_1_132
132_0_HPSE"
133	Neilson	Malvern	53 Steeles East, 353 Steeles	"133_0_133
133_0_133am
133_0_133pm
133_1_133
133_1_133am
133_1_133pm"
