vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
1212	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1213	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1214	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1215	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1216	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1217	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1218	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1219	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1220	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1221	1201-1242	Gillig	"2012 Advantage"	Shoemaker	ISL9-B400R	Active		07/09/2018
1222	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1223	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1224	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1225	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1226	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1227	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1228	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1229	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1230	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1231	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1232	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1233	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1234	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1235	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1236	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1237	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1238	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1239	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1240	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1241	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1242	1201-1242	Gillig	"2012 Advantage"	Gilbert	ISL9-B400R	Active		07/09/2018
1243	1243-1246	Gillig	"2012	Advantage	HEV"	Gilbert	"ISB6.7/H	40	EP"	Active		07/09/2018
1244	1243-1246	Gillig	"2012	Advantage	HEV"	Gilbert	"ISB6.7/H	40	EP"	Active		07/09/2018
1245	1243-1246	Gillig	"2012	Advantage	HEV"	Gilbert	"ISB6.7/H	40	EP"	Active		07/09/2018
1246	1243-1246	Gillig	"2012	Advantage	HEV"	Gilbert	"ISB6.7/H	40	EP"	Active		07/09/2018
1400	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1401	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1402	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1403	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1404	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1405	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1406	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1407	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1408	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1409	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1410	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1411	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1412	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1413	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1414	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1415	1400-1430	"New Flyer"	"2014 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1416	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1417	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1418	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1419	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1420	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1421	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1422	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1423	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1424	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1425	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1426	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1427	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1428	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1429	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1430	1400-1430	"New Flyer"	"2014 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1500	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1501	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1502	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1503	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1504	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1505	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1506	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1507	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1508	1500-1508	"New Flyer"	"2015 XD40"	Shoemaker	ISL9-B400R	Active		07/09/2018
1509	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
1510	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
1511	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
1512	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
1513	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
1514	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
