47_1_47ASun	47 Lansdowne	Queen Street	Earlscourt Loop	47A Queen	Stopping at Bloor Street
48_0_48	48 Rathburn	Mill Rd/Rathburn Loop	Royal York Stn	48 Royal York Stn	N/A
48_1_48	48 Rathburn	Royal York Stn	Mill Rd/Rathburn Loop	48 Mill Rd	N/A
48_0_MMRY	48 Rathburn	Silverthrone C. I	Royal York Stn	48 Royal York Stn	School Trip
49_0_49	49 Bloor West	Markland Dr/Mill Rd	Kipling Stn	49 Kipling Stn	N/A
49_1_49	49 Bloor West	Kipling Stn	Markland Dr/Mill Rd	49 Markland Wood	N/A
50_0_50	50 Burnhamthrope 	Mill Rd/Burnhamthrope	Islington Stn	50 Islington Stn	N/A
50_1_50	50 Burnhamthrope 	Islington Stn	Mill Rd/Burnhamthrope	50 Mill Rd Loop	N/A
50_0_MMIS	50 Burnhamthrope 	Silverthrone C. I	Islington Stn	50 Islington Stn	School Trip
51_0_51	51 Leslie	Freshmeadow Dr/Don Mills (Steeles)	Eglinton Stn	51 Eglinton Stn	N/A
51_1_51	51 Leslie 	Eglinton Stn	Freshmeadow Dr/Don Mills (Steeles)	51 Steeles	N/A
52_0_52A	52 Lawrence West 	Pearson Airport (Terminal 3)	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn
52_1_52A	52 Lawrence West 	Lawrence Stn	Pearson Airport (Terminal 3)	52A Pearson Airport	via Lawrence West Stn
52_0_52B	52 Lawrence West 	Westwood Mall	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn
52_1_52B	52 Lawrence West 	Lawrence Stn	Westwood Mall	52B Westwood	via Lawrence West Stn
52_0_52D	52 Lawrence West 	Victory Cres/McNaughton	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn
52_1_52D	52 Lawrence West 	Lawrence Stn	Victory Cres/McNaughton	52D McNaughton 	via Lawrence West Stn
52_0_52F	52 Lawrence West	Royal York Rd	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn
52_1_52F	52 Lawrence West	Lawrence Stn	Royal York Rd	52F Royal York	via Lawrence West Stn
52_0_52G	52 Lawrence West 	Martin Grove/Tollington	Lawrence West Stn	52G Lawrence West Stn	N/A
52_1_52G	52 Lawrence West	Lawrence Stn	Martin Grove/Tollington	52G Martin Grove	N/A
52_0_52Gcon	52 Lawrence West 	Martin Grove/Tollington	Lawrence Stn	52 Lawrence Stn	N/A
52_1_52Gcon	52 Lawrence West	Lawrence Stn	Martin Grove/Tollington	52G Martin Grove	N/A
52_1_ba52B	52 Lawrence West 	Bathurst Street	Westwood Mall	52 Westwood	bypassing Lawrence West Stn
52_1_yg52D	52 Lawrence West	Lorindale Ave (Yonge St)	McNaughton 	52D McNaughton 	bypassing Lawrence West Stn
52_0_TOLS	52 Lawrence West 	Martin Grove/Tollington	Lawrence Stn	52 Lawrence Stn	via Lawrence West stn
52_0_WELS	52 Lawrence West	Weston Rd	Lawrence Stn	52 Lawrence Stn	via Lawrence West stn
52_1_WELS	52 Lawrence West	Lawrence Stn	Weston Rd	52S Weston Rd	via Lawrence West stn
52_0_WMT3	52 Lawrence West	Westwood Mall	Pearson Airport (Terminal 3)	52 Lawrence Stn	then continues as 52A
53_0_53A	53 Steeles East	Finch Stn	Staines	53A Staines	N/A
53_1_53A	53 Steeles East	Staines	Finch Stn	53 Finch Stn	N/A
53_0_53B	53 Steeles East	Finch Stn	Markham Road	53B Markham Rd	N/A
53_1_53B	53 Steeles East	Markham Road	Finch Stn	53 Finch Stn	N/A
53_0_53Bpm	53 Steeles East	Finch Stn	Markham Road	53B Markham Rd	N/A
53_1_53Bpm	53 Steeles East	Markham Road	Finch Stn	53 Finch Stn	N/A
53_0_53E	53 Steeles East	Finch Stn	Markham Road	53E Markham Rd	Express
53_1_53E	53 Steeles East	Markham Road	Finch Stn	53E Finch Stn	Express
53_0_53Epm	53 Steeles East	Finch Stn	Markham Road	53E Markham Rd	Express
53_1_53Epm	53 Steeles East	Markham Road	Finch Stn	53E Finch Stn	Express
53_0_53F	53 Steeles East	Finch Stn	Staines	53F Staines	Express
53_1_53F	53 Steeles East	Staines	Finch Stn	53F Finch Stn	Express
53_0_53Epm	53 Steeles East	Finch Stn	Markham Road	53E Markham Rd	Express
53_1_53Epm	53 Steeles East	Markham Road	Finch Stn	53E Finch Stn	Express
53_0_53Fpm	53 Steeles East	Finch Stn	Staines	53F Staines	Express
53_1_53Fpm	53 Steeles East	Staines	Finch Stn	53F Finch Stn	Express 
53_1_SYON	53 Steeles East	Steeles/Yonge Loop	Markham Road	53E Markham Rd 	Express
54_0_54A	54 Lawrence East	Eglinton Stn	Starspray Blvd	54A Starspray Blvd	via Lawrence East Stn
54_1_54A	54 Lawrence East	Starspray Blvd	Eglinton Stn	54 Eglinton Stn	via Lawrence East Stn
54_0_54B	54 Lawrence East	Eglinton Stn	Orton Park/Brimorton	54B Orton Park	Before 3pm, clockwise looping/via Lawrence East Stn
54_1_54B	54 Lawrence East	Orton Park/Brimorton	Eglinton Stn	54 Eglinton Stn	Before 3pm, clockwise looping/via Lawrence East Stn
54_0_54Bpm	54 Lawrence East	Eglinton Stn	Scarborough Golf Club Rd/Lawrence 	54B Orton Park	After 3pm, clockwise looping/via Lawrence East Stn
54_1_54Bpm	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Stn	54 Eglinton Stn	After 3pm, clockwise looping/via Lawrence East Stn
54_0_54E	54 Lawrence East	Lawrence East Stn	Starspray Blvd	54E Starspray Blvd	Express via Rushley Dr/Replace by 954 Lawrence East Express
54_1_54E	54 Lawrence East	Starspray Blvd	Lawrence East Stn	54E Lawrence East Stn	Express via Rushley Dr/Replace by 954 Lawrence East Express
