vehicle	group	manufacturer	model	division	powertrain	status	thumbnail	
201	0201-0220	NFI	D40LF	Sandalwood	Cummins ISC	Retired		2 July 2020
202	0201-0220	NFI	D40LF	Sandalwood	Cummins ISC	Retired		2 July 2020
203	0201-0220	NFI	D40LF	Sandalwood	Cummins ISC			2 July 2020
