vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
512	0501-0572	New Flyer	2005 D40LF	Malton	ISL-D864.3E	Active		9 July 2018
513	0501-0572	New Flyer	2005 D40LF	Malton	ISL-D864.3E	Active		9 July 2018
514	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
515	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
516	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
517	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
518	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
519	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
520	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
521	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
522	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
523	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
524	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
525	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
526	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
527	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
528	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
529	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
530	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
531	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
532	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
533	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
534	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active	https://media.discordapp.net/attachments/385830976879722499/466421731523821569/IMG_2095.JPG?width=779&height=520	10 July 2018
535	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
536	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
537	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
538	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
539	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
540	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
541	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
542	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
543	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
544	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
545	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
546	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
547	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
548	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
549	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
550	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active	https://media.discordapp.net/attachments/466672200024588301/466751058723602443/IMG_20180331_013517_876.jpg	11 July 2018
551	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
552	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
553	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
554	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
555	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
556	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
557	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
558	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
559	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
560	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
561	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
562	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
563	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active	https://cdn.discordapp.com/attachments/385830976879722499/466597355118919690/IMG_1485.JPG	11 July 2018
564	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
565	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
566	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
567	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
568	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
569	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
570	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
571	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
572	0501-0572	New Flyer	2005 D40LF	Central Parkway	ISL-D864.3E	Active		9 July 2018
601	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
602	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
603	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
604	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
605	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active	https://media.discordapp.net/attachments/385830976879722499/466457092543348739/IMG_4926.JPG?width=500&height=300	11 July 2018
606	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
607	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
608	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
609	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
610	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
611	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
612	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
613	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
614	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
615	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
616	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
