vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
2231	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2232	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2233	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2234	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2235	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2236	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2237	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2238	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2239	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2240	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Contingency	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2241	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2242	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2243	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2244	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2245	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2246	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2247	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2248	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2249	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2250	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2251	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2252	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2253	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2254	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2255	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2256	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2257	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2258	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2259	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2260	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2261	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2262	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2263	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2264	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Contingency	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2265	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2266	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2267	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2268	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2269	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2270	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2271	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
