vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
335	321-338	Gillig	2003 Low Floor 40'	Glenwood Blvd	ISL-D864.3E	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_322-a.jpg"	11 July 2018
336	321-338	Gillig	2003 Low Floor 40'	Glenwood Blvd	ISL-D864.3E	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_322-a.jpg"	11 July 2018
337	321-338	Gillig	2003 Low Floor 40'	Glenwood Blvd	ISL-D864.3E	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_322-a.jpg"	11 July 2018
338	321-338	Gillig	2003 Low Floor 40'	Glenwood Blvd	ISL-D864.3E	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_322-a.jpg"	11 July 2018
339	339	Gillig	2005 Low Floor 40'	Glenwood Blvd	ISL-D864.3E	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_339-a.jpg"	11 July 2018
771	771-775	New Flyer	2003 D60LF	N/A	DDS50EGR-B500R	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_774-a.jpg"	11 July 2018
772	771-775	New Flyer	2003 D60LF	N/A	DDS50EGR-B500R	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_774-a.jpg"	11 July 2018
773	771-775	New Flyer	2003 D60LF	N/A	DDS50EGR-B500R	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_774-a.jpg"	11 July 2018
774	771-775	New Flyer	2003 D60LF	Glenwood Blvd	DDS50EGR-B500R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_774-a.jpg"	11 July 2018
775	771-775	New Flyer	2003 D60LF	N/A	DDS50EGR-B500R	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_774-a.jpg"	11 July 2018
1001	1001-1005	New Flyer	2010 DE60LFR	Glenwood Blvd	ISL9-H 50 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1004-a.jpg"	11 July 2018
1002	1001-1005	New Flyer	2010 DE60LFR	Glenwood Blvd	ISL9-H 50 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1004-a.jpg"	11 July 2018
1003	1001-1005	New Flyer	2010 DE60LFR	Glenwood Blvd	ISL9-H 50 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1004-a.jpg"	11 July 2018
1004	1001-1005	New Flyer	2010 DE60LFR	Glenwood Blvd	ISL9-H 50 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1004-a.jpg"	11 July 2018
1005	1001-1005	New Flyer	2010 DE60LFR	Glenwood Blvd	ISL9-H 50 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1004-a.jpg"	11 July 2018
1101	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1102	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1103	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1104	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1105	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1106	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1107	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1108	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1109	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1110	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1111	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1112	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1113	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1114	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1115	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1116	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1117	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1118	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1119	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1120	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1121	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
